CourseCategory,CourseCount,Actual_Total_Enrollments,Predicted_Total_Enrollments,Actual_Total_Revenue,Predicted_Total_Revenue,Avg_Price,Avg_Rating,Revenue_Variance_Pct
Artificial Intelligence,5,829,826,202750.66999999998,202719.75,248.82,3.036,-0.02
Business,5,833,832,181527.58,181503.32,219.798,2.6879999999999997,-0.01
Cybersecurity,5,819,839,59139.0,70340.27999999998,78.852,2.902,18.94
Data Science,5,916,882,77052.32,68964.57,83.45,3.316,-10.5
Design,5,827,822,43113.72,43122.9,55.274,3.162,0.02
Digital Marketing,5,808,854,56261.32,56753.090000000004,77.946,3.656,0.87
Finance,5,864,837,28106.200000000004,28118.52,34.58,3.0100000000000002,0.04
Machine Learning,5,819,813,133.38,174.83,0.156,2.6580000000000004,31.08
Marketing,5,806,841,0.0,18.400000000000002,0.0,3.722,184000000.0
Programming,5,806,814,77453.92,77454.13,94.45599999999999,3.036,0.0
Project Management,5,829,828,169103.21000000002,169079.8,203.462,3.142,-0.01
Web Development,5,844,836,16682.15,16696.37,19.042,2.846,0.09
